rep_new,policy_level,date,organisation,purpose,department,others_at_the_meeting,source,registrant_additional_information,portal_source,RecordId,tag
John Mason MSP,MSP,22/02/2024,Family Fund,Discussion with John Mason MSP  Member for Glasgow Shettleston  at Family Fund's exhibition in the Scottish Parliament. We discussed Family Fund's Window to our world research findings  the work of the charity in Scotland and the opportunity to signpost Family Fund grants and support to potentially eligible constituents.  The purpose was to support better understanding of the challenges which families of disabled children and young people face to being able to enjoy time together  how these barriers might be addressed and to provide insight into the outcomes of grant funding which supports families to enjoy time together  with a view to this insight informing future policy decisions. In addition  to share information about the work of Family Fund. | Location: Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49860,Type: None | Lobbyist names: Salena Begley MBE | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97439,
Bob Doris MSP,MSP,22/02/2024,Family Fund,Discussion with with Bob Doris MSP  Member for Glasgow Maryhill and Springburn  at Family Fund's exhibition in the Scottish Parliament  which was sponsored by the Member. We discussed the Window to our world research findings and the opportunity to signpost Family Fund grants and support to potentially eligible constituents.  The purpose was to support better understanding of the challenges which families of disabled children and young people face to being able to enjoy time together  how these barriers might be addressed and to provide insight into the outcomes of grant funding which supports families to enjoy time together  with a view to this insight informing future policy decisions.  | Location: Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49840,Type: None | Lobbyist names: Salena Begley MBE | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97440,
Alex Cole-Hamilton MSP,MSP,22/02/2024,Family Fund,Discussion with Willie Rennie MSP  Member for North East Fife  and Alex Cole-Hamilton MSP  Member for Edinburgh Western  at Family Fund's exhibition in the Scottish Parliament.   We shared information regarding Family Fund's Window to our world research findings and the opportunity to signpost Family Fund grants and support to potentially eligible constituents.  The purpose was to support better understanding of the challenges which families of disabled children and young people face and to provide insight into the positive benefits of grant support  with a view to this insight informing future policy decisions.  | Location: Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,Willie Rennie,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49837,Type: None | Lobbyist names: Salena Begley MBE | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97441,
Willie Rennie MSP,MSP,22/02/2024,Family Fund,Discussion with Willie Rennie MSP  Member for North East Fife  and Alex Cole-Hamilton MSP  Member for Edinburgh Western  at Family Fund's exhibition in the Scottish Parliament.   We shared information regarding Family Fund's Window to our world research findings and the opportunity to signpost Family Fund grants and support to potentially eligible constituents.  The purpose was to support better understanding of the challenges which families of disabled children and young people face and to provide insight into the positive benefits of grant support  with a view to this insight informing future policy decisions.  | Location: Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,Alex Cole-Hamilton,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49837,Type: None | Lobbyist names: Salena Begley MBE | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97442,
Neil Bibby MSP,MSP,21/02/2024,Family Fund,Discussion with Neil Bibby MSP  Member for West Scotland  at Family Fund's exhibition in the Scottish Parliament. We discussed Family Fund's Window to our world research findings and the opportunity to signpost Family Fund grants and support to potentially eligible constituents.  The purpose was to support better understanding of the challenges which families of disabled children and young people face and to provide insight into the positive benefits of grant support  with a view to this insight informing future policy decisions. | Location: Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49835,Type: None | Lobbyist names: Salena Begley MBE | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97443,
Bill Kidd MSP,MSP,21/02/2024,Family Fund,Discussion with Bill Kidd MSP  Member for Glasgow Anniesland  at Family Fund's exhibition in the Scottish Parliament. We discussed Family Fund's Window to our world research findings and the opportunity to signpost Family Fund grants and support to potentially eligible constituents.  The purpose was to support better understanding of the challenges which families of disabled children and young people face and how these might be addressed and to provide insight into the positive outcomes of grant funding  with a view to this insight informing future policy decisions. | Location: Scottish parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49832,Type: None | Lobbyist names: Salena Begley MBE | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97444,
Kevin Stewart MSP,MSP,21/02/2024,Family Fund,Discussion with Kevin Stewart MSP  Member for Aberdeen Central  at Family Fund's exhibition in the Scottish Parliament.  We discussed Family Fund's Window to our world research findings and the opportunity to signpost Family Fund grants and support to potentially eligible constituents.  The purpose was to enhance understanding of the challenges which families of disabled children and young people face to being able to enjoy time together  how these barriers might be addressed and to reinforce the outcomes of grant funding which supports families to enjoy time together  with a view to this insight informing future policy decisions.   | Location: Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49828,Type: None | Lobbyist names: Salena Begley MBE | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97445,
Gordon MacDonald MSP,MSP,20/02/2024,Family Fund,Discussion with Gordon Macdonald MSP  Member for Edinburgh Pentlands  at Family Fund's exhibition in the Scottish Parliament. We discussed Family Fund's Window to our world research findings and the opportunity to signpost Family Fund grants and support to potentially eligible constituents.  The purpose was to support better understanding of the challenges which families of disabled children and young people face to being able to enjoy time together  how these barriers might be addressed and to provide insight into the outcomes of grant funding which supports families to enjoy time together  with a view to this insight informing future policy decisions. | Location: Scottish Parliament Edinburgh Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49821,Type: None | Lobbyist names: Salena Begley MBE | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97446,
Collette Stevenson MSP,MSP,20/02/2024,Family Fund,Discussion with Collette Stevenson MSP  Member for East Kilbride  at Family Fund's exhibition in the Scottish Parliament. We discussed Family Fund's Window to our world research findings and the opportunity to signpost Family Fund grants and support to potentially eligible constituents.  The purpose was to support better understanding of the challenges which families of disabled children and young people face to being able to enjoy time together  how these barriers might be addressed and to provide insight into the outcomes of grant funding which supports families to enjoy time together  with a view to this insight informing future policy decisions. | Location: Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49820,Type: None | Lobbyist names: Salena Begley MBE | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97447,
Fergus Ewing MSP,MSP,20/02/2024,Family Fund,Discussion with Fergus Ewing MSP  Member for Inverness and Nairn  at Family Fund's exhibition in the Scottish Parliament.  We discussed Family Fund's Window to our world research findings and the opportunity to signpost Family Fund grants and support to potentially eligible constituents.  The purpose was to support better understanding of the challenges which families of disabled children and young people face to being able to enjoy time together  how these barriers might be addressed and to provide insight into the outcomes of grant funding which supports families to enjoy time together  with a view to this insight informing future policy decisions. | Location: Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49819,Type: None | Lobbyist names: Salena Begley MBE | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97448,
Mark Ruskell MSP,MSP,26/01/2024,Global Justice Now,Video conference meeting with Mark Ruskell MSP  Member for Mid Scotland and Fife  in his role as Scottish Green's spokesperson on climate and environment. To update on the Energy Charter Treaty (ECT) conference of November 20th and the modernisation process for the treaty  and to request that the Member raise in parliament where possible the issue of the risks from the treaty to government policy on climate change.  We also introduced the global campaign for a Fossil Fuel Non-Proliferation Treaty and asked whether the Scottish Greens might endorse the call for the treaty. | Location: Private residence - address withheld  | Type: Video conference,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49817,Type: None | Lobbyist names: Jane Herbstritt | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97449,Climate
Karen Adam MSP,MSP,20/02/2024,Family Fund,Discussion with Karen Adam MSP  Member for Banffshire and Buchan Coast  at Family Fund's exhibition in the Scottish Parliament.    We discussed Family Fund's Window to our world research findings and the opportunity to signpost Family Fund grants and support to potentially eligible constituents.   The purpose was to support better understanding of the challenges which families of disabled children and young people face to being able to enjoy time together  how these barriers might be addressed and to provide insight into the outcomes of grant funding which supports families to enjoy time together  with a view to this insight informing future policy decisions.  | Location: Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49814,Type: None | Lobbyist names: Salena Begley MBE | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97450,
Beatrice Wishart MSP,MSP,29/02/2024,RSPB Scotland,Meeting with Beatrice Wishart MSP  Member for Shetland Islands  and Willie Rennie MSP  Member for North East Fife.  We welcomed the recently announced ban on industrial sandeel trawling in Scottish waters and thanked the Members  in particular Willie Rennie MSP in his role as LINK Nature Champion for Sandeel  for their support for this.   We discussed the results of the latest Seabird Census  which was published in late 2023  and the recently published Highly Pathogenic Avian Influenza (bird flu  HPAI) survey results from 2022-23. We highlighted the fact that Scotland is internationally important for seabird populations and that seabirds are under pressure from climate change  invasive non-native species  by-catch from fishing  and marine development in sensitive areas  such as some instances of offshore wind development. All of these pressures were present before HPAI and have been exacerbated by it. We expressed the hope that the Biodiversity Strategy and forthcoming Seabird Conservation Strategy would contain actions which would make a real difference for seabirds  such as island restoration and biosecurity  and that they would be adequately resourced.   We outlined our engagement with the renewables industry and other stakeholders in efforts to secure nature-positive offshore wind  which we see as critical to tackling the climate and nature emergency. | Location: The Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,Willie Rennie,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49802,Type: None | Lobbyist names: Helen McLachlan; Nora Casey | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97451,Climate
Willie Rennie MSP,MSP,29/02/2024,RSPB Scotland,Meeting with Beatrice Wishart MSP  Member for Shetland Islands  and Willie Rennie MSP  Member for North East Fife.  We welcomed the recently announced ban on industrial sandeel trawling in Scottish waters and thanked the Members  in particular Willie Rennie MSP in his role as LINK Nature Champion for Sandeel  for their support for this.   We discussed the results of the latest Seabird Census  which was published in late 2023  and the recently published Highly Pathogenic Avian Influenza (bird flu  HPAI) survey results from 2022-23. We highlighted the fact that Scotland is internationally important for seabird populations and that seabirds are under pressure from climate change  invasive non-native species  by-catch from fishing  and marine development in sensitive areas  such as some instances of offshore wind development. All of these pressures were present before HPAI and have been exacerbated by it. We expressed the hope that the Biodiversity Strategy and forthcoming Seabird Conservation Strategy would contain actions which would make a real difference for seabirds  such as island restoration and biosecurity  and that they would be adequately resourced.   We outlined our engagement with the renewables industry and other stakeholders in efforts to secure nature-positive offshore wind  which we see as critical to tackling the climate and nature emergency. | Location: The Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,Beatrice Wishart,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49802,Type: None | Lobbyist names: Helen McLachlan; Nora Casey | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97452,Climate
Ariane Burgess MSP,MSP,02/01/2024,Scottish Contractors Group,"Video conference meeting with Ariane Burgess MSP  Member for Highlands and Islands. To promote the ""Build Your Future"" programme  which aims to show young people how they can learn about how the subjects they are studying relate to the world of work and their future skills development. We explained to the Member how this is a programme that aims to work in collaboration across the industry and promote the many and varied careers in construction.  We highlighted the need for the correct infrastructure for construction skills delivery to ensure those in rural areas have the same access and opportunities to enter their chosen construction trade should they wish to pursue a career in construction.  We also highlighted the current training provision of key trades to reach Net Zero and the lack of college based training available in rural areas and the need to develop a flexible and agile model of delivery  as identified in the Withers Review  to ensure that all young people in Scotland have the same opportunities without additional obstacles to them achieving their potential. | Location: Private residence - address withheld  | Type: Video conference",Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49796,Type: None | Lobbyist names: John Alexander McKinney | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97453,
Clare Adamson MSP,MSP,16/01/2024,Scottish Contractors Group,"Video conference meeting with Clare Adamson MSP  Member for Motherwell and Wishaw. To promote the ""Build Your Future"" programme  which aims to show young people how they can learn about how the subjects they are studying relate to the world of work and their future skills development. We explained to the Member how this is a programme that aims to work in collaboration across the industry and promote the many and varied careers in construction.  We discussed how the programme could be developed and rolled out across schools in Scotland. The Member was interested in hear discussions had recently started with North Lanarkshire Council which was considering Build Your Future programme as an introduction to construction which would be followed up with the very successful Future Friday's programme run by the local authority.   | Location: Private residence - address withheld  | Type: Video conference",Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49792,Type: None | Lobbyist names: John Alexander McKinney | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97454,
Kevin Stewart MSP,MSP,01/12/2024,Scottish Contractors Group,"Video conference meeting with Kevin Stewart MSP  Member for Aberdeen Central.  To promote the ""Build Your Future"" programme  which aims to show young people how they can learn about how the subjects they are studying relate to the world of work and their future skills development. We explained to the Member how this is a programme that aims to work in collaboration across the industry and promote the many and varied careers in construction.  We discussed how the programme could be rolled out to other parts of Scotland plus Existing Building Database to allow the Scottish Government and other public bodies to make informed decisions about how to retrofit their buildings in the most efficient and effective way to meet Net Zero.  The Member identified several stakeholders he felt might be interested in working in collaboration to promote the many and varied careers in construction. | Location: Private residence - address withheld EH99 1SP  | Type: Video conference",Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49791,Type: None | Lobbyist names: John Alexander McKinney | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97455,
Sue Webber MSP,MSP,01/11/2024,Scottish Contractors Group,"Video conference meeting with Sue Webber MSP  Member for Lothian and in her capacity as Convener of Education  Children and Young People Committee.  Discussions how to take forward the ""Build Your Future"" programme and also raise the profile of the work of the programme within the Parliament.  Se sought to promote the programme  which aims to show young people how they can learn about how the subjects they are studying relate to the world of work and their future skills development. We explained to the Member how this is a programme that aims to work in collaboration across the industry and promote the many and varied careers in construction. We asked the Member to promote it further to MSPs  including those on the Education  Children and Young People Committee.  We also outlined how we were working with The City of Edinburgh Council to offer Build Your Future to every local authority high school in the city and how we could develop this model to be replicated in other areas of Scotland. | Location: Private Residence - Address withheld EH99 1SP  | Type: Video conference",Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49790,Type: None | Lobbyist names: John Alexander McKinney | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97456,
Miles Briggs MSP,MSP,12/04/2023,Scottish Contractors Group,"Meeting with Miles Briggs MSP  Member for Lothian. Discussing the ""Build Your Future"" programme and creating a pathway into construction for young people from the junior phase at secondary school and the need to review construction apprenticeship delivery to reflect the findings of the Withers Review for a flexible and agile Post-16 education system.  To highlight how the current method of delivery of construction training meant that significant areas of the country did not receive the same access to training opportunities and to seek a review so young people from across Scotland received the same opportunities to enter the industry without having to overcome additional barriers which might hinder them achieving their potential. | Location: Scottish Parliament EH99 1SP  | Type: Face to face",Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49789,Type: None | Lobbyist names: John Alexander McKinney | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97457,
Sharon Dowey MSP,MSP,10/03/2023,Scottish Contractors Group,"Meeting with Sharon Dowey MSP  Member for South Scotland. To obtain assistance in rolling out ""Build Your Future"" further across the South of Scotland. Having already secured funding to deliver the programme in the Scottish Borders  we looked to work with the Member to identify how we could raise the profile of the programme to others parts of the South of Scotland to enquire if they were interested in offering Build Your Future to schools in their areas.    | Location: Scottish Parliament EH99 1SP  | Type: Face to face",Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49788,Type: None | Lobbyist names: John Alexander McKinney | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97458,
Roz McCall MSP,MSP,03/04/2024,British Retail Consortium,Meeting with Roz McCall MSP  Member for Mid Scotland and Fife. We briefed the Member on retail trading conditions and the Scottish Retail Consortium's perspective on the Scottish Budget including the consideration being given to a business rate surtax on grocery stores  as well as on the rejuvenation of town and city centre retail destinations. | Location: The Riverside Stirling Road Dunblane FK15 9EP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49754,Type: Charity or Trust or Advocacy Body | Lobbyist names: David Lonsdale | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97459,
Ariane Burgess MSP,MSP,26/02/2024,RSPB Scotland,Video conference meeting with Ariane Burgess MSP  Member for Highlands and Islands.  We discussed the results of the latest Seabird Census  which was published in late 2023  and the recently published Highly Pathogenic Avian Influenza (bird flu  HPAI) survey results from 2022-23. We highlighted the fact that Scotland is internationally important for seabird populations and that seabirds are under pressure from climate change  invasive non-native species  overfishing and marine development such as offshore wind  in combination with HPAI. We expressed the hope that the Biodiversity Strategy and forthcoming Seabird Conservation Strategy would contain actions which would make a real difference for seabirds  such as island restoration and biosecurity  and that they would be adequately resourced. We welcomed the recently announced ban on commercial sandeel trawling in Scottish waters.  We discussed the need for dialogue and constructive engagement with coastal communities around what we see as the need for marine conservation. We agreed to keep the Member informed as we look into new ways of engaging with communities on these issues  while highlighting work our area teams are already doing in partnership in areas such as Orkney and Shetland. | Location: Private Residence - Address Withheld  | Type: Video conference,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49748,Type: None | Lobbyist names: Helen McLachlan; Nora Casey | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97460,Climate
Claire Baker MSP,MSP,26/02/2024,RSPB Scotland,Video conference meeting with Claire Baker MSP  Member for Mid Scotland and Fife.  We met with the Member in her role as Scottish Environment LINK Nature Champion for the Puffin. We discussed the results of the latest Seabird Census  which was published in late 2023  and the recently published Highly Pathogenic Avian Influenza (bird flu  HPAI) survey results from 2022-23.   We highlighted the fact that Scotland is internationally important for seabird populations and that seabirds are under pressure from climate change  invasive non-native species  overfishing and marine development such as offshore wind  in combination with HPAI. We explained that we are in discussions with industry and other stakeholders to try to secure nature-positive offshore wind developments as we see this as a key action needed to address the climate and nature crisis. We expressed the hope that the Biodiversity Strategy and forthcoming Seabird Conservation Strategy would contain actions which would make a real difference for seabirds  such as island restoration and biosecurity  and that they would be adequately resourced. We said that that we would get in touch with the Member to set up a site visit for the spring / summer months. | Location: Private Residence - Address Withheld  | Type: Video conference,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49741,Type: None | Lobbyist names: Helen McLachlan; Nora Casey | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97461,Climate
Miles Briggs MSP,MSP,03/04/2024,Evangelical Alliance Scotland,Meeting with Miles Briggs MSP  Member for Lothian.  We discussed the work of our organisation and membership  and various policy areas such as commercial sexual exploitation of women and girls  drug and alcohol addiction recovery  end of life care  ending conversion practices and housing/homelessness. We also discussed how churches and faith groups engage with the Member in his region. | Location: The Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49740,Type: None | Lobbyist names: Chris Ringland | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97462,
